[[ 2.70291644e+02  6.61960634e+01]
 [-1.32473778e+02  1.85686546e+02]
 [-1.08186737e+02  1.13724702e+02]
 [-7.08040857e+01  1.30036000e+02]
 [-2.36134999e+02  2.24816461e+02]
 [-1.38564227e+02  7.10125683e+01]
 [-1.09781266e+02  2.34212195e+01]
 [ 1.67652413e+02  9.14301842e+01]
 [-1.30027577e+02  1.56019939e+02]
 [-8.02534690e+01  3.08705369e+01]
 [-1.09646032e+01  2.83294887e+01]
 [-1.08285884e+02  1.01261436e+02]
 [-6.62847491e+01  7.35472684e+01]
 [ 2.40412272e+02  8.40749353e+01]
 [ 1.04821968e+02  1.25510443e+02]
 [ 1.39813098e+02  9.32454851e+01]
 [-3.68989374e+01  1.40125737e+02]
 [-9.25296521e+01  9.23190712e+01]
 [ 3.45231904e+00  2.62055233e+01]
 [ 1.62367328e+02  7.74169771e+01]
 [-1.77124343e+02  1.45765162e+02]
 [ 2.00555050e+02  7.52241885e+01]
 [-1.58786437e+02  1.59545888e+02]
 [ 2.98124522e+02  7.14559042e+01]
 [ 2.95385921e+02  3.40868335e+01]
 [-1.61386303e+02  3.24709160e+02]
 [ 2.21646562e+02  1.00773506e+02]
 [ 1.33922631e+00  1.41961534e+01]
 [-1.66694853e+02  2.48175262e+02]
 [ 1.17017973e+02  8.36217016e+01]
 [-1.00783044e+02  2.24289470e+02]
 [ 1.72710993e+02  8.49457679e+01]
 [-1.31168223e+02  8.92329577e+01]
 [-2.03925012e+01 -6.10035523e+01]
 [-1.37313610e+02  1.27744413e+02]
 [-1.70970291e+02  2.47187606e+02]
 [ 1.03352292e+02  1.17056489e+02]
 [-1.31069166e+02  1.75721733e+02]
 [-4.23958558e+01 -2.47243295e+00]
 [ 3.92103919e+01  1.08476567e+02]
 [ 1.92775945e+02  7.72046141e+01]
 [ 3.59716100e+02  2.01428952e+01]
 [ 5.27481854e+01  1.00498690e+02]
 [ 7.24072213e+01  1.37470004e+02]
 [ 1.79788628e+02  4.11177273e+01]
 [-7.82026347e+01  1.00490602e+02]
 [ 1.30833021e+02  1.13935453e+02]
 [-7.09253478e+01 -6.36334149e+00]
 [-8.36914198e+01  6.65446668e+01]
 [-8.56463698e+01  4.23404540e+01]
 [-6.37013989e+01  8.10432327e+01]
 [ 4.99122106e+01  1.08666604e+02]
 [ 1.02342902e+02  9.25547393e+01]
 [-1.98604368e+02  2.51135313e+02]
 [ 5.18736001e+01  9.70238570e+01]
 [-1.29009019e+02  1.79027771e+02]
 [-3.71877625e+01  1.11783263e+02]
 [-1.83292598e+02  1.28081645e+02]
 [-1.00244402e+02  9.44466623e+01]
 [ 4.59564285e+01  1.02593272e+02]
 [ 1.64861773e+02  1.14983447e+02]
 [ 2.80739335e+02  3.50562432e+01]
 [ 2.06870929e+02  7.81367001e+01]
 [-6.33802669e+01  1.51500867e+02]
 [-2.44989340e+02  1.62002126e+02]
 [-6.75913372e+01  5.59104142e+01]
 [ 2.00599676e+02  6.97175665e+01]
 [-8.08277496e+01  1.87747334e+02]
 [-1.15439960e+02  1.20616554e+02]
 [ 1.28981739e+02  9.66485487e+01]
 [ 1.86332717e+02  3.06121926e+01]
 [ 8.94881591e+01  1.18982342e+02]
 [ 1.46594574e+02  6.14646578e+01]
 [-1.56626212e+02  1.61651386e+02]
 [ 2.33643484e+02  5.96970681e+01]
 [-1.31937706e+02  2.36748299e+02]
 [-1.85771113e+02  2.97498615e+02]
 [ 1.50806323e+02  6.19304747e+01]
 [-2.19293659e+02  2.46176084e+02]
 [ 1.97487040e+02  8.89353712e+01]
 [-9.03562600e+01  1.06604717e+02]
 [-2.99543083e+01  3.16901992e+01]
 [ 1.03883998e+02  6.30307723e+01]
 [-1.22488428e+02  9.84699524e+01]
 [ 1.35444739e+01 -4.92760007e+01]
 [-8.27696863e+01  1.48008169e+01]
 [-1.57858217e+02  1.47227853e+02]
 [-1.45241376e+02  6.54715645e+01]
 [ 1.44132770e+02  1.09213887e+02]
 [ 7.87146435e+01  1.14274600e+02]
 [-3.41735527e+01  9.83857731e+01]
 [ 5.16356774e+01  1.18971771e+02]
 [ 1.13331494e+02  9.63292786e+01]
 [-1.81918830e+01  1.31812631e+02]
 [-4.27031130e+01  5.61962118e+01]
 [ 2.39886857e+01 -4.48700181e+01]
 [-7.18626564e-01  1.29551558e+02]
 [ 8.34871661e+01  1.06430920e+02]
 [-1.57893104e+02  2.46892996e+02]
 [-8.49631410e+01  1.60714132e+02]
 [-4.53247294e+01  1.47993743e+02]
 [ 2.89553032e+01  9.85528677e+01]
 [ 1.73832703e+02  9.31585046e+01]
 [ 6.92915382e+01  1.22616485e+02]
 [-1.93543086e+02  1.78466218e+02]
 [-7.26773516e+01  2.07399188e+02]
 [ 7.99505208e+01  8.49268012e+01]
 [ 4.53714173e+01  1.37941511e+02]
 [-1.61107138e+02  2.19484415e+02]
 [ 2.91936157e+02  4.71711301e+01]
 [-9.91004993e+01  1.69730741e+02]
 [-1.25377400e+02  1.38179598e+02]
 [-3.01179271e+01  1.05606174e+02]
 [-1.23994331e+02  1.76768413e+02]
 [ 8.45862387e+01  1.09645428e+02]
 [-1.56384826e+02  8.27388064e+01]
 [-1.13002099e+02 -9.14312213e+00]
 [ 5.95187210e+01  1.23301925e+02]
 [-2.37623762e+01 -8.68592365e+00]
 [ 1.72195876e+02  8.81887117e+01]
 [-7.33873304e+01  6.72914682e+01]
 [ 7.19925094e+01  9.93005828e+01]
 [ 1.55217308e+02  9.51058667e+01]
 [-1.33370686e+02  1.39739177e+02]
 [-1.88917158e+01 -2.82907566e+01]
 [ 5.78213130e+01  1.52159117e+02]
 [-2.46572037e+02  2.76096020e+02]
 [ 2.24669771e+01  1.08278747e+02]
 [-1.96533601e+02  2.03756003e+02]
 [-4.14469962e+01  1.29930239e+02]
 [-1.70405822e+02  2.39755322e+02]
 [-4.38644643e+01  1.68035902e+02]
 [ 1.95296790e+02  4.09996573e+01]
 [ 1.72275210e+02  7.78375520e+01]
 [-4.06271734e+01 -6.55655023e+01]
 [-2.83891795e+01  1.55281846e+02]
 [ 2.16931399e+02  5.75163577e+01]
 [-7.87070895e+01  9.95362319e+01]
 [ 4.19097348e+01  1.17839546e+02]
 [-8.83263123e+01 -2.95122909e+01]
 [ 7.59432924e+01  9.37188168e+01]
 [ 6.12847879e+01  8.08217487e+01]
 [ 1.73565201e+02  6.70123624e+01]
 [-1.61699217e+02  1.63893622e+02]
 [-8.38434186e+01  2.06164405e-02]
 [ 6.39901258e+01 -1.36092396e+02]
 [-1.17498133e+01  1.85808771e+01]
 [ 1.85816507e+02  6.24420055e+01]
 [ 1.25181157e+01  1.52009840e+02]
 [ 1.25703945e+02  1.08783445e+02]
 [-2.01431705e+02  2.04412865e+02]
 [ 1.56547206e+02  8.39165329e+01]
 [-1.48551870e+02  3.11588345e+02]
 [ 1.69984481e+02  7.78157079e+01]
 [ 9.72076980e+01  1.42996252e+02]
 [-8.84082380e+01  7.75309297e+01]
 [ 1.03281442e+02  1.24554823e+02]
 [ 1.14969053e+01  1.14113672e+02]
 [-1.59492531e+02  2.13455027e+02]
 [ 1.67231980e+02  5.28840036e+01]
 [-1.23313317e+02  1.94667399e+02]
 [-3.53807801e+00  1.51047784e+02]
 [ 7.45895527e+01 -5.08623780e+01]
 [-3.08414282e+01 -2.32226521e+01]
 [ 1.27763674e+02  1.19146022e+02]
 [ 6.56386554e+01  1.07947507e+02]
 [ 1.41994060e+02  9.04580325e+01]
 [-1.16774240e+02  1.25043570e+02]
 [-6.24581362e+01  1.35707376e+02]
 [-9.91360771e+01  1.71221303e+02]
 [-1.44017364e+02  1.48895571e+02]
 [-1.24992877e+02  1.26433148e+02]
 [ 9.01038035e+01  1.11437808e+02]
 [ 1.60272371e+02  6.60453240e+01]
 [ 2.35217443e+02  5.91911131e+01]
 [-1.34692890e+02  1.12839265e+02]
 [-8.48383261e+01  1.34761986e+02]
 [-1.61415720e+02  8.51687905e+01]
 [-8.55589213e+01 -2.02128247e+01]
 [ 1.55625071e+02  9.16622522e+01]
 [-9.79376498e+01  1.50859144e+02]
 [-1.38718568e+01  1.58237544e+02]
 [-1.53699226e+02  2.06281122e+02]
 [ 2.26345553e+02  2.47477789e+01]
 [ 4.29137771e+01  1.16759636e+02]
 [-6.98414479e+01  6.53017571e+01]
 [-1.25742115e+02  9.49558144e+01]
 [ 1.27623619e+01 -9.13634677e+01]
 [-5.64649030e+01  5.06186208e+01]
 [-1.55336591e+02  2.36831913e+02]
 [ 4.45063273e+01 -1.54623774e+02]
 [-4.72114338e+01  2.37196995e+01]
 [ 8.55359285e+01  9.94546072e+01]
 [ 8.07497184e+01  8.74869455e+01]
 [ 7.67442337e+01  1.20989334e+02]
 [ 1.88869624e+02  8.01800537e+01]
 [-1.09818641e+02  1.53214904e+02]
 [-9.77241132e+01  7.45623133e+01]
 [-1.60135145e+02  1.64145339e+02]
 [-1.02042765e+02  1.45673500e+02]
 [ 1.84253544e+02  7.29034520e+01]
 [ 1.94089927e+02  6.70046971e+01]] [0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 0 1 1 0 0 1 0 1 1 1 0 1 0 0 0 1 1 1
 1 1 0 0 1 0 1 1 0 1 1 1 1 0 0 0 1 1 0 1 1 1 0 1 0 1 0 0 0 1 1 1 1 0 1 1 0
 0 0 0 1 1 1 0 1 1 1 0 1 0 1 0 1 0 1 1 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1
 0 0 0 0 1 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 0 1 1 0 0 0 0 0 0 1 0 1 1 1
 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 1 0 1 0 1 1 0 1 1 1 1
 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 0 1 0 0 1
 1 0 1 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0 0 1 0 1 0 0 1 0 0 1 0 1
 0 1 1 0 0 0 1 1 0 1 1 0 0 0 1 0 1 1 0 1 0 1 0 0 1 1 1 1 1 1 1 0 0 0 0 1 1
 1 1 0 0]
